iter	Passed	Remaining
606	1328	860
607	1330	857
608	1333	856
609	1335	853
610	1337	851
611	1339	849
612	1342	847
613	1344	845
614	1346	842
615	1348	840
616	1350	838
617	1352	835
618	1354	833
619	1356	831
620	1358	828
621	1360	826
622	1361	824
623	1363	821
624	1365	819
625	1367	817
626	1369	814
627	1371	812
628	1373	810
629	1375	807
630	1377	805
631	1379	803
632	1381	800
633	1383	798
634	1385	796
635	1386	793
636	1388	791
637	1390	789
638	1392	786
639	1394	784
640	1396	782
641	1398	779
642	1400	777
643	1402	775
644	1404	772
645	1406	770
646	1408	768
647	1410	765
648	1411	763
649	1413	761
650	1415	758
651	1417	756
652	1419	754
653	1420	751
654	1422	749
655	1425	747
656	1427	745
657	1429	742
658	1430	740
659	1432	738
660	1434	735
661	1436	733
662	1438	731
663	1440	728
664	1442	726
665	1444	724
666	1445	721
667	1447	719
668	1449	717
669	1451	714
670	1453	712
671	1454	710
672	1456	707
673	1458	705
674	1460	703
675	1462	700
676	1463	698
677	1465	696
678	1467	693
679	1469	691
680	1471	689
681	1473	687
682	1475	684
683	1477	682
684	1479	680
685	1481	677
686	1482	675
687	1484	673
688	1486	671
689	1488	668
690	1490	666
691	1492	664
692	1495	662
693	1497	660
694	1499	658
695	1501	655
696	1503	653
697	1505	651
698	1507	649
699	1509	646
700	1510	644
701	1512	642
702	1515	640
703	1516	637
704	1518	635
705	1520	633
706	1522	631
707	1524	628
708	1526	626
709	1528	624
710	1529	621
711	1531	619
712	1533	617
713	1535	615
714	1537	612
715	1539	610
716	1541	608
717	1543	606
718	1545	603
719	1547	601
720	1549	599
721	1551	597
722	1552	594
723	1554	592
724	1556	590
725	1558	588
726	1560	585
727	1561	583
728	1563	581
729	1565	579
730	1567	576
731	1569	574
732	1571	572
733	1573	570
734	1575	567
735	1577	565
736	1578	563
737	1580	561
738	1582	558
739	1584	556
740	1586	554
741	1587	552
742	1589	549
743	1591	547
744	1593	545
745	1595	543
746	1597	540
747	1598	538
748	1600	536
749	1602	534
750	1604	532
751	1606	529
752	1608	527
753	1609	525
754	1611	523
755	1613	520
756	1615	518
757	1617	516
758	1619	514
759	1621	512
760	1623	509
761	1625	507
762	1627	505
763	1628	503
764	1630	500
765	1632	498
766	1634	496
767	1636	494
768	1638	492
769	1640	489
770	1642	487
771	1644	485
772	1645	483
773	1647	481
774	1649	478
775	1651	476
776	1653	474
777	1655	472
778	1657	470
779	1659	468
780	1661	465
781	1663	463
782	1665	461
783	1666	459
784	1668	457
785	1670	454
786	1672	452
787	1674	450
788	1676	448
789	1678	446
790	1680	443
791	1681	441
792	1683	439
793	1685	437
794	1688	435
795	1690	433
796	1692	431
797	1694	428
798	1696	426
799	1697	424
800	1699	422
801	1701	420
802	1703	417
803	1705	415
804	1707	413
805	1709	411
806	1711	409
807	1713	407
808	1714	404
809	1716	402
810	1718	400
811	1720	398
812	1722	396
813	1724	394
814	1726	391
815	1728	389
816	1730	387
817	1732	385
818	1734	383
819	1736	381
820	1738	378
821	1740	376
822	1741	374
823	1743	372
824	1745	370
825	1747	368
826	1749	366
827	1751	363
828	1754	361
829	1756	359
830	1758	357
831	1760	355
832	1764	353
833	1766	351
834	1769	349
835	1771	347
836	1773	345
